Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,"1,269.03","1,261.95","1,274.86","1,260.65",,0.64%
2023-01-03,"1,279.10","1,269.93","1,281.23","1,264.35",,0.79%
2023-01-04,"1,270.98","1,279.59","1,280.77","1,269.04",,-0.63%
2023-01-05,"1,274.26","1,271.39","1,279.14","1,267.05",,0.26%
2023-01-06,"1,253.50","1,274.58","1,275.33","1,251.84",,-1.63%
2023-01-09,"1,239.28","1,254.50","1,254.70","1,234.54",,-1.13%
2023-01-10,"1,240.80","1,239.69","1,248.82","1,235.71",,0.12%
2023-01-11,"1,242.50","1,241.22","1,250.48","1,238.10",,0.14%
2023-01-12,"1,239.12","1,242.41","1,247.73","1,234.95",,-0.27%
2023-01-13,"1,237.26","1,239.51","1,246.42","1,233.79",,-0.15%
2023-01-16,"1,241.61","1,237.10","1,242.73","1,231.51",,0.35%
2023-01-17,"1,237.34","1,241.98","1,242.59","1,235.77",,-0.34%
2023-01-18,"1,237.69","1,237.36","1,247.12","1,225.56",,0.03%
2023-01-19,"1,232.21","1,238.11","1,242.45","1,231.53",,-0.44%
2023-01-20,"1,228.86","1,232.63","1,238.44","1,229.53",,-0.27%
2023-01-23,"1,229.97","1,230.35","1,233.78","1,224.96",,0.09%
2023-01-24,"1,232.57","1,230.38","1,237.99","1,228.90",,0.21%
2023-01-25,"1,232.57","1,232.98","1,237.88","1,230.28",,0.00%
2023-01-26,"1,231.84","1,232.97","1,235.69","1,229.21",,-0.06%
2023-01-27,"1,229.62","1,232.26","1,236.55","1,227.22",,-0.18%
2023-01-30,"1,231.46","1,230.20","1,232.61","1,226.31",,0.15%
2023-01-31,"1,233.30","1,231.88","1,239.12","1,227.83",,0.15%
2023-02-01,"1,222.28","1,233.72","1,234.22","1,220.35",,-0.89%
2023-02-02,"1,224.78","1,222.26","1,226.37","1,215.83",,0.20%
2023-02-03,"1,247.46","1,225.19","1,250.36","1,224.08",,1.85%
2023-02-06,"1,260.25","1,247.35","1,263.96","1,243.92",,1.03%
