Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,"1,823.69","1,823.85","1,823.94","1,823.85",,-0.04%
2023-01-03,"1,839.49","1,826.14","1,850.69","1,824.42",,0.87%
2023-01-04,"1,854.09","1,839.51","1,865.49","1,835.92",,0.79%
2023-01-05,"1,833.19","1,854.19","1,859.36","1,824.68",,-1.13%
2023-01-06,"1,865.71","1,833.27","1,870.37","1,830.53",,1.77%
2023-01-09,"1,871.59","1,865.45","1,881.80","1,864.59",,0.32%
2023-01-10,"1,877.27","1,871.66","1,881.04","1,867.37",,0.30%
2023-01-11,"1,876.38","1,877.30","1,887.09","1,866.75",,-0.05%
2023-01-12,"1,896.86","1,876.43","1,901.88","1,873.64",,1.09%
2023-01-13,"1,920.21","1,897.03","1,922.24","1,891.80",,1.23%
2023-01-16,"1,918.00","1,920.39","1,929.24","1,910.74",,-0.12%
2023-01-17,"1,908.39","1,917.81","1,919.83","1,903.51",,-0.50%
2023-01-18,"1,903.76","1,908.46","1,926.30","1,896.56",,-0.24%
2023-01-19,"1,931.39","1,903.83","1,935.40","1,900.48",,1.45%
2023-01-20,"1,926.57","1,931.48","1,937.72","1,920.58",,-0.25%
2023-01-23,"1,931.30","1,926.20","1,935.69","1,911.44",,0.25%
2023-01-24,"1,937.45","1,931.35","1,942.93","1,916.82",,0.32%
2023-01-25,"1,945.93","1,937.54","1,948.12","1,919.88",,0.44%
2023-01-26,"1,928.99","1,946.09","1,949.27","1,918.74",,-0.87%
2023-01-27,"1,927.34","1,929.40","1,935.15","1,916.65",,-0.09%
2023-01-30,"1,922.52","1,928.40","1,934.61","1,920.58",,-0.25%
2023-01-31,"1,927.88","1,922.82","1,931.15","1,900.74",,0.28%
2023-02-01,"1,950.42","1,927.92","1,954.63","1,920.56",,1.17%
2023-02-02,"1,912.37","1,950.54","1,959.77","1,911.33",,-1.95%
2023-02-03,"1,865.53","1,912.57","1,918.72","1,861.41",,-2.45%
2023-02-06,"1,867.36","1,865.17","1,881.54","1,860.39",,0.10%
2023-02-07,"1,873.81","1,867.39","1,884.45","1,864.94",,0.35%
2023-02-08,"1,875.59","1,874.05","1,886.28","1,867.40",,0.09%
2023-02-09,"1,861.39","1,875.64","1,890.69","1,858.89",,-0.76%
2023-02-10,"1,864.67","1,861.68","1,872.31","1,852.69",,0.18%
2023-02-13,"1,853.39","1,865.69","1,866.83","1,850.42",,-0.60%
2023-02-14,"1,854.29","1,853.67","1,871.03","1,843.20",,0.05%
2023-02-15,"1,836.19","1,854.35","1,860.18","1,830.20",,-0.98%
2023-02-16,"1,837.44","1,836.56","1,845.45","1,827.18",,0.07%
2023-02-17,"1,841.59","1,837.52","1,843.77","1,818.34",,0.23%
2023-02-20,"1,841.14","1,842.73","1,847.86","1,837.09",,-0.02%
2023-02-21,"1,834.32","1,841.71","1,844.44","1,829.70",,-0.37%
2023-02-22,"1,825.04","1,834.71","1,846.26","1,823.05",,-0.51%
2023-02-23,"1,822.64","1,825.12","1,834.43","1,817.55",,-0.13%
2023-02-24,"1,810.81","1,822.74","1,827.98","1,808.91",,-0.65%
2023-02-27,"1,817.31","1,812.01","1,820.22","1,806.68",,0.36%
2023-02-28,"1,827.15","1,817.38","1,831.27","1,804.65",,0.54%
2023-03-01,"1,836.81","1,827.24","1,845.05","1,823.05",,0.53%
2023-03-02,"1,836.00","1,837.20","1,838.94","1,829.44",,-0.04%
2023-03-03,"1,854.97","1,836.10","1,856.47","1,834.51",,1.03%
2023-03-06,"1,846.85","1,855.35","1,858.84","1,845.08",,-0.44%
2023-03-07,"1,813.52","1,846.92","1,852.26","1,812.72",,-1.80%
2023-03-08,"1,813.59","1,813.61","1,824.38","1,809.40",,0.00%
2023-03-09,"1,830.89","1,813.65","1,835.56","1,811.84",,0.95%
2023-03-10,"1,867.83","1,830.96","1,870.28","1,827.71",,2.02%
2023-03-13,"1,913.23","1,869.01","1,914.79","1,869.01",,2.43%
2023-03-14,"1,902.12","1,913.19","1,914.52","1,895.17",,-0.58%
2023-03-15,"1,918.10","1,903.91","1,937.46","1,885.78",,0.84%
2023-03-16,"1,919.12","1,920.54","1,934.12","1,907.55",,0.05%
2023-03-17,"1,987.93","1,920.00","1,989.80","1,918.33",,3.59%
2023-03-20,"1,978.71","1,987.59","2,010.19","1,965.77",,-0.46%
2023-03-21,"1,940.15","1,979.17","1,985.30","1,935.41",,-1.95%
2023-03-22,"1,969.58","1,940.44","1,978.93","1,934.33",,1.52%
2023-03-23,"1,993.50","1,967.91","2,003.43","1,964.39",,1.21%
2023-03-24,"1,977.22","1,993.99","2,003.19","1,975.18",,-0.82%
2023-03-27,"1,956.56","1,977.66","1,979.89","1,943.68",,-1.04%
2023-03-28,"1,973.69","1,957.23","1,975.45","1,948.66",,0.88%
2023-03-29,"1,964.04","1,972.82","1,974.64","1,958.62",,-0.49%
2023-03-30,"1,980.25","1,962.58","1,984.40","1,955.44",,0.83%
2023-03-31,"1,967.90","1,978.62","1,987.84","1,966.89",,-0.62%
2023-04-03,"1,984.11","1,970.84","1,990.64","1,949.82",,0.82%
2023-04-04,"2,019.97","1,984.59","2,025.19","1,977.01",,1.81%
2023-04-05,"2,020.35","2,020.44","2,032.20","2,009.99",,0.02%
2023-04-06,"2,008.02","2,020.13","2,021.63","2,000.88",,-0.61%
2023-04-10,"1,989.95","2,008.30","2,011.17","1,981.59",,-0.90%
2023-04-11,"2,003.14","1,990.36","2,007.58","1,988.72",,0.66%
2023-04-12,"2,014.67","2,003.67","2,028.40","2,001.18",,0.58%
2023-04-13,"2,039.73","2,014.00","2,048.84","2,012.45",,1.24%
2023-04-14,"2,003.04","2,040.40","2,047.60","1,992.41",,-1.80%
2023-04-17,"1,994.77","2,001.85","2,015.13","1,981.34",,-0.41%
2023-04-18,"2,004.93","1,995.19","2,011.98","1,991.33",,0.51%
2023-04-19,"1,993.26","2,007.49","2,008.33","1,969.28",,-0.58%
2023-04-20,"2,004.34","1,993.58","2,012.74","1,990.49",,0.56%
2023-04-21,"1,982.89","2,004.29","2,005.75","1,971.65",,-1.07%
2023-04-24,"1,988.88","1,981.34","1,990.97","1,974.19",,0.30%
2023-04-25,"1,997.87","1,991.45","2,003.90","1,976.14",,0.45%
2023-04-26,"1,989.48","2,000.63","2,009.51","1,983.43",,-0.42%
2023-04-27,"1,987.87","1,987.58","2,003.45","1,973.80",,-0.08%
2023-04-28,"1,989.65","1,986.75","1,995.13","1,976.08",,0.09%
2023-05-01,"1,982.05","1,991.34","2,006.05","1,977.05",,-0.38%
2023-05-02,"2,016.28","1,982.81","2,019.54","1,978.38",,1.73%
2023-05-03,"2,039.02","2,014.80","2,040.69","2,007.96",,1.13%
2023-05-04,"2,051.11","2,036.86","2,073.29","2,030.34",,0.59%
2023-05-05,"2,016.54","2,051.73","2,053.13","1,999.30",,-1.69%
2023-05-08,"2,021.39","2,015.95","2,029.63","2,014.10",,0.24%
