Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,9.705,9.624,9.7383,9.6203,,0.93%
2023-01-03,9.7612,9.713,9.8263,9.6661,,0.58%
2023-01-04,9.5815,9.7668,9.7852,9.5764,,-1.84%
2023-01-05,9.5515,9.586,9.6459,9.5102,,-0.31%
2023-01-06,9.489,9.5535,9.5636,9.4128,,-0.65%
2023-01-09,9.3963,9.5044,9.5239,9.3659,,-0.98%
2023-01-10,9.3801,9.3998,9.4558,9.3794,,-0.17%
2023-01-11,9.3781,9.3844,9.4447,9.368,,-0.02%
2023-01-12,9.5848,9.3781,9.5997,9.3768,,2.20%
2023-01-13,9.6729,9.5911,9.7241,9.5587,,0.92%
2023-01-16,9.6571,9.682,9.6932,9.6057,,-0.16%
2023-01-17,9.6562,9.6611,9.685,9.596,,-0.01%
2023-01-18,9.6012,9.6592,9.6617,9.4376,,-0.57%
2023-01-19,9.5929,9.6056,9.6718,9.5924,,-0.09%
2023-01-20,9.4819,9.5972,9.6111,9.4601,,-1.16%
2023-01-23,9.4114,9.5005,9.532,9.4025,,-0.74%
2023-01-24,9.4682,9.4156,9.5045,9.4027,,0.60%
2023-01-25,9.5098,9.4725,9.5615,9.4349,,0.44%
2023-01-26,9.4597,9.5141,9.5514,9.4523,,-0.53%
2023-01-27,9.4674,9.4626,9.5304,9.4528,,0.08%
2023-01-30,9.4394,9.4826,9.5046,9.4217,,-0.30%
2023-01-31,9.4782,9.4433,9.5197,9.4289,,0.41%
2023-02-01,9.478,9.4825,9.5361,9.4278,,0.00%
2023-02-02,9.518,9.4787,9.5587,9.4565,,0.42%
2023-02-03,9.5081,9.5224,9.5922,9.463,,-0.10%
2023-02-06,9.4984,9.446,9.5405,9.4023,,-0.10%
2023-02-07,9.5793,9.5101,9.6448,9.4645,,0.85%
2023-02-08,9.5925,9.5809,9.6483,9.5554,,0.14%
2023-02-09,9.6089,9.5968,9.6452,9.5819,,0.17%
2023-02-10,9.6428,9.6133,9.7136,9.5828,,0.35%
2023-02-13,9.6118,9.6494,9.6837,9.588,,-0.32%
2023-02-14,9.5593,9.6161,9.6412,9.5353,,-0.55%
2023-02-15,9.5658,9.5602,9.6605,9.5529,,0.07%
2023-02-16,9.6268,9.5715,9.646,9.5533,,0.64%
2023-02-17,9.6577,9.6304,9.6841,9.6128,,0.32%
2023-02-20,9.6546,9.6592,9.6865,9.6295,,-0.03%
2023-02-21,9.6708,9.6564,9.7106,9.6257,,0.17%
2023-02-22,9.6543,9.6749,9.7018,9.6269,,-0.17%
2023-02-23,9.6326,9.6583,9.6907,9.5677,,-0.22%
2023-02-24,9.6304,9.634,9.7126,9.6285,,-0.02%
2023-02-27,9.669,9.632,9.7237,9.6212,,0.40%
2023-02-28,9.711,9.6781,9.7353,9.6386,,0.43%
2023-03-01,9.5845,9.7155,9.7245,9.5534,,-1.30%
2023-03-02,9.5838,9.5887,9.6412,9.5763,,-0.01%
2023-03-03,9.5351,9.588,9.607,9.5147,,-0.51%
2023-03-06,9.5392,9.5366,9.5788,9.5133,,0.04%
2023-03-07,9.6086,9.548,9.6341,9.536,,0.73%
2023-03-08,9.5827,9.6121,9.6379,9.5658,,-0.27%
2023-03-09,9.7349,9.5866,9.7534,9.5849,,1.59%
2023-03-10,9.7788,9.7383,9.8037,9.6257,,0.45%
2023-03-13,9.7326,9.7843,9.8883,9.6624,,-0.47%
2023-03-14,9.7188,9.7365,9.8441,9.6834,,-0.14%
2023-03-15,9.8407,9.7221,9.9968,9.6548,,1.25%
2023-03-16,9.7245,9.8444,9.9612,9.7255,,-1.18%
2023-03-17,9.9239,9.7339,9.9359,9.7275,,2.05%
2023-03-20,9.9319,9.8787,10.0532,9.8057,,0.08%
2023-03-21,9.8342,9.9391,9.9903,9.8325,,-0.98%
2023-03-22,9.8718,9.8391,9.9025,9.7977,,0.38%
2023-03-23,9.8306,9.8802,9.9192,9.7357,,-0.42%
2023-03-24,9.9041,9.8355,10.0749,9.8056,,0.75%
2023-03-27,9.8649,9.9277,9.9694,9.8544,,-0.40%
2023-03-28,9.9079,9.8685,9.9569,9.8484,,0.44%
2023-03-29,9.8231,9.9138,9.9245,9.8162,,-0.86%
2023-03-30,9.7735,9.829,9.8685,9.7547,,-0.50%
2023-03-31,9.8337,9.777,9.8539,9.6794,,0.62%
2023-04-03,9.8813,9.8243,9.9404,9.7875,,0.48%
2023-04-04,9.9459,9.8862,10.0027,9.8456,,0.65%
2023-04-05,10.0293,9.9505,10.0591,9.9483,,0.84%
2023-04-06,10.0046,10.0329,10.0938,9.9816,,-0.25%
2023-04-07,9.9599,10.0095,10.0323,9.9396,,-0.45%
2023-04-10,9.8827,9.9629,9.9947,9.8699,,-0.78%
2023-04-11,9.8888,9.8866,9.9472,9.866,,0.06%
2023-04-12,9.9334,9.8938,9.9962,9.8699,,0.45%
2023-04-13,9.8166,9.9379,9.9746,9.7917,,-1.18%
2023-04-14,9.7459,9.822,9.8479,9.7384,,-0.72%
2023-04-17,9.8075,9.7465,9.8479,9.7335,,0.63%
2023-04-18,9.8347,9.812,9.854,9.7818,,0.28%
2023-04-19,9.8694,9.8393,9.9237,9.8016,,0.35%
2023-04-20,9.8593,9.8741,9.883,9.8014,,-0.10%
2023-04-21,9.9073,9.8633,9.9515,9.8406,,0.49%
2023-04-24,9.9256,9.9213,9.9648,9.8949,,0.18%
2023-04-25,10.0268,9.9299,10.0725,9.903,,1.02%
2023-04-26,10.0098,10.0308,10.0751,9.9807,,-0.17%
2023-04-27,9.9953,10.0133,10.0647,9.9859,,-0.14%
2023-04-28,9.8142,10.0002,10.0438,9.7974,,-1.81%
2023-05-01,9.7606,9.8182,9.8263,9.7546,,-0.55%
2023-05-02,9.8287,9.7682,9.8495,9.7132,,0.70%
2023-05-03,9.9068,9.8322,9.9178,9.806,,0.79%
2023-05-04,9.85,9.9136,9.9344,9.8173,,-0.57%
2023-05-05,9.7692,9.8538,9.868,9.7562,,-0.82%
2023-05-08,9.7808,9.7754,9.8334,9.741,,0.12%
2023-05-09,9.8035,9.7877,9.8342,9.7759,,0.23%
2023-05-10,9.807,9.808,9.8484,9.7693,,0.04%
2023-05-11,9.8895,9.8109,9.9525,9.794,,0.84%
2023-05-12,9.8896,9.8928,9.9382,9.8728,,0.00%
2023-05-15,9.8102,9.8997,9.902,9.7932,,-0.80%
2023-05-16,9.8413,9.8133,9.8766,9.798,,0.32%
2023-05-17,9.6894,9.8455,9.8569,9.6804,,-1.54%
2023-05-18,9.6182,9.694,9.7168,9.6101,,-0.73%
2023-05-19,9.6043,9.6211,9.6599,9.5514,,-0.14%
2023-05-22,9.478,9.6013,9.6356,9.4764,,-1.32%
2023-05-23,9.5188,9.4813,9.5439,9.4419,,0.43%
2023-05-24,9.4531,9.5259,9.5422,9.4517,,-0.69%
