"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2023","671.51","683.84","688.77","670.38","742.77M","-1.15%"
"01/03/2023","674.95","672.18","675.75","660.32","935.98M","0.51%"
"01/04/2023","683.67","670.18","683.67","667.30","901.76M","1.29%"
"01/05/2023","679.92","685.78","688.35","677.77","885.28M","-0.55%"
"01/06/2023","688.94","677.28","691.17","676.40","818.51M","1.33%"
"01/09/2023","701.21","695.02","701.21","695.02","1.01B","1.78%"
"01/10/2023","696.05","700.16","704.60","694.92","1.16B","-0.74%"
"01/11/2023","709.77","701.29","710.29","701.29","1.25B","1.97%"
"01/12/2023","710.82","713.56","714.10","707.54","1.25B","0.15%"
"01/13/2023","711.82","712.24","714.75","709.26","1.08B","0.14%"
"01/16/2023","716.89","714.71","718.15","713.19","1.23B","0.71%"
"01/17/2023","709.71","716.70","718.90","708.54","1.16B","-1.00%"
"01/18/2023","711.75","711.12","713.28","708.79","1.18B","0.29%"
"01/19/2023","712.89","707.66","712.94","705.76","1.01B","0.16%"
"01/20/2023","717.97","712.32","718.03","712.32","1.01B","0.71%"
"01/25/2023","732.35","725.23","732.42","725.23","1.02B","2.00%"
"01/26/2023","738.94","734.37","740.99","733.23","1.21B","0.90%"
"01/27/2023","741.25","741.20","742.07","737.90","1.14B","0.31%"
"01/30/2023","738.62","743.73","746.33","736.90","1.05B","-0.35%"
"01/31/2023","740.49","735.19","740.98","732.33","975.26M","0.25%"
"02/01/2023","750.96","744.90","752.50","744.03","1.07B","1.41%"
"02/02/2023","764.62","759.53","764.84","758.72","1.22B","1.82%"
"02/03/2023","766.79","765.37","768.03","761.82","1.14B","0.28%"
"02/06/2023","761.33","763.66","766.23","760.65","1.19B","-0.71%"
"02/07/2023","772.79","762.47","773.79","762.30","1.26B","1.51%"
"02/08/2023","779.98","777.43","779.98","776.30","1.46B","0.93%"
"02/09/2023","784.58","776.60","784.64","776.26","1.41B","0.59%"
"02/10/2023","772.44","783.07","784.52","771.62","1.31B","-1.55%"
"02/13/2023","772.55","771.50","774.08","767.64","1.20B","0.01%"
"02/14/2023","779.58","778.05","780.13","774.61","1.27B","0.91%"
"02/15/2023","765.46","782.55","784.38","763.81","1.42B","-1.81%"
"02/16/2023","784.71","772.17","784.71","772.16","1.24B","2.51%"
"02/17/2023","775.62","775.03","780.78","772.96","862.50M","-1.16%"
"02/20/2023","788.89","777.68","789.26","773.86","889.52M","1.71%"
"02/21/2023","793.42","789.45","793.42","786.48","1.02B","0.57%"
"02/22/2023","778.51","782.83","787.85","774.54","1.13B","-1.88%"
"02/23/2023","783.28","782.18","784.59","774.10","927.83M","0.61%"
"02/24/2023","778.88","784.94","786.09","774.21","1.19B","-0.56%"
"02/27/2023","780.30","775.01","781.54","769.75","1.15B","0.18%"
"02/28/2023","791.60","784.23","793.65","783.66","1.01B","1.45%"
"03/02/2023","787.19","793.63","797.01","786.52","1.02B","-0.56%"
"03/03/2023","802.42","792.90","802.45","792.61","1.10B","1.93%"
"03/06/2023","816.51","810.61","816.62","804.47","1.11B","1.76%"
"03/07/2023","815.76","814.27","818.56","810.47","1.39B","-0.09%"
"03/08/2023","813.95","809.14","817.17","807.95","1.26B","-0.22%"
"03/09/2023","809.22","817.03","817.12","801.10","1.37B","-0.58%"
"03/10/2023","788.60","796.57","798.96","785.66","1.20B","-2.55%"
"03/13/2023","788.89","784.02","789.18","771.03","1.18B","0.04%"
"03/14/2023","758.05","788.44","789.22","758.05","1.14B","-3.91%"
"03/15/2023","781.17","774.53","784.59","773.65","1.03B","3.05%"
"03/16/2023","781.98","780.53","785.54","767.11","1.11B","0.10%"
"03/17/2023","797.39","791.18","798.62","785.98","1.15B","1.97%"
"03/20/2023","802.20","793.04","803.42","791.45","1.10B","0.60%"
"03/21/2023","802.53","806.51","809.33","802.42","1.06B","0.04%"
"03/22/2023","813.43","811.17","813.43","807.91","1.12B","1.36%"
"03/23/2023","812.19","807.53","824.20","806.40","1.18B","-0.15%"
"03/24/2023","824.11","820.16","824.11","814.07","1.29B","1.47%"
"03/27/2023","827.69","827.95","829.18","817.81","1.18B","0.43%"
"03/28/2023","833.51","831.07","833.68","825.40","1.22B","0.70%"
"03/29/2023","843.94","833.90","843.94","832.44","1.31B","1.25%"
"03/30/2023","850.48","850.78","852.59","846.10","1.50B","0.77%"
"03/31/2023","847.52","849.98","851.13","842.61","1.28B","-0.35%"
"04/03/2023","854.96","850.86","855.20","847.70","1.15B","0.88%"
"04/04/2023","857.18","853.92","861.13","852.02","1.31B","0.26%"
"04/05/2023","872.36","857.54","872.44","856.15","1.50B","1.77%"
"04/06/2023","865.58","869.65","869.94","859.13","1.42B","-0.78%"
"04/07/2023","880.07","871.83","880.07","866.58","1.67B","1.67%"
"04/10/2023","887.78","882.75","890.96","877.31","1.59B","0.88%"
"04/11/2023","898.94","893.20","899.37","879.73","1.56B","1.26%"
"04/12/2023","890.62","897.11","900.83","888.63","1.99B","-0.93%"
"04/13/2023","894.25","885.50","895.29","875.42","1.70B","0.41%"
"04/14/2023","903.84","902.56","906.69","900.70","1.46B","1.07%"
"04/17/2023","909.50","905.35","909.50","898.84","1.54B","0.63%"
"04/18/2023","909.02","910.75","910.75","902.90","1.97B","-0.05%"
"04/19/2023","909.20","908.87","913.97","907.59","1.88B","0.02%"
"04/20/2023","885.71","905.81","906.00","884.33","2.32B","-2.58%"
"04/21/2023","868.82","884.27","888.21","868.36","2.02B","-1.91%"
"04/24/2023","855.23","867.38","870.08","852.48","1.31B","-1.56%"
"04/25/2023","838.71","857.54","858.91","828.25","1.54B","-1.93%"
"04/26/2023","830.44","835.94","846.42","829.19","1.26B","-0.99%"
"04/27/2023","850.21","831.89","850.88","823.19","1.46B","2.38%"
"04/28/2023","842.83","860.11","860.11","839.67","1.16B","-0.87%"
"05/02/2023","855.61","845.18","855.61","844.68","1.03B","1.52%"
"05/03/2023","843.18","848.05","852.23","841.81","1.17B","-1.45%"
"05/04/2023","845.06","842.13","847.69","839.08","1.19B","0.22%"
"05/08/2023","842.28","851.52","854.32","842.07","1.27B","-0.33%"
"05/09/2023","835.85","841.41","843.40","827.78","1.18B","-0.76%"
"05/10/2023","829.74","836.02","839.86","827.88","1.32B","-0.73%"
"05/11/2023","824.54","836.60","840.66","821.94","1.75B","-0.63%"
"05/12/2023","822.43","824.11","828.14","820.24","1.69B","-0.26%"
"05/15/2023","814.53","820.50","820.50","806.47","1.28B","-0.96%"
"05/16/2023","816.75","818.96","822.64","813.32","1.37B","0.27%"
"05/17/2023","834.19","815.58","834.20","814.65","1.27B","2.14%"
"05/18/2023","835.89","839.27","841.10","833.73","1.32B","0.20%"
"05/19/2023","841.72","839.56","842.21","836.68","1.31B","0.70%"
"05/22/2023","852.04","840.97","852.33","837.49","1.09B","1.23%"
"05/23/2023","859.16","853.57","861.30","853.57","1.27B","0.84%"
"05/24/2023","855.46","856.25","857.84","853.00","1.15B","-0.43%"
"05/25/2023","847.72","857.30","860.01","845.84","1.25B","-0.90%"
"05/26/2023","843.23","849.80","853.06","842.17","1.18B","-0.53%"
"05/30/2023","851.50","850.00","851.53","844.48","1.23B","0.98%"
"05/31/2023","856.94","851.37","860.30","850.88","1.07B","0.64%"
"06/01/2023","863.78","855.95","863.86","855.46","982.02M","0.80%"
"06/02/2023","868.06","866.16","868.17","864.97","1.11B","0.50%"
"06/05/2023","870.28","871.05","872.95","865.13","1.05B","0.26%"
"06/07/2023","880.72","872.10","880.81","872.10","1.09B","1.20%"
"06/08/2023","876.13","878.86","879.44","871.50","1.12B","-0.52%"
"06/09/2023","883.71","882.11","886.52","880.76","1.07B","0.87%"
"06/12/2023","885.76","887.20","887.20","881.76","1.01B","0.23%"
"06/13/2023","896.81","890.81","898.28","889.58","1.12B","1.25%"
"06/14/2023","871.83","899.35","899.85","870.48","1.34B","-2.79%"
"06/15/2023","878.04","877.62","884.55","865.48","1.12B","0.71%"
"06/16/2023","887.95","882.45","888.27","878.99","949.46M","1.13%"
"06/19/2023","888.61","888.52","889.49","881.14","1.15B","0.07%"
"06/20/2023","886.41","886.47","891.00","883.09","1.30B","-0.25%"
"06/21/2023","875.70","887.26","890.94","875.33","1.22B","-1.21%"
"06/22/2023","876.38","870.79","880.12","869.79","1.34B","0.08%"
"06/23/2023","874.84","880.37","880.46","872.28","1.29B","-0.18%"
"06/26/2023","879.50","874.31","881.24","869.29","1.29B","0.53%"
"06/27/2023","874.14","877.88","878.43","867.68","1.22B","-0.61%"
"06/28/2023","866.97","879.61","880.23","866.70","1.16B","-0.82%"
"06/29/2023","861.79","868.65","870.75","859.77","1.17B","-0.60%"
"06/30/2023","868.24","862.70","869.24","853.68","1.00B","0.75%"
"07/03/2023","889.29","873.91","889.29","873.66","884.08M","2.42%"
"07/04/2023","890.00","890.94","894.70","883.41","972.95M","0.08%"
"07/05/2023","891.18","890.49","895.63","889.23","918.62M","0.13%"
"07/06/2023","870.53","889.30","889.77","869.46","1.13B","-2.32%"
"07/07/2023","867.27","868.08","872.29","861.20","1.04B","-0.37%"
"07/10/2023","860.35","868.00","870.18","857.35","1.01B","-0.80%"
"07/11/2023","878.73","866.55","878.76","865.65","935.39M","2.14%"
"07/12/2023","879.88","878.97","880.53","873.91","1.04B","0.13%"
"07/13/2023","893.07","885.21","895.23","884.33","1.12B","1.50%"
"07/14/2023","896.28","898.17","899.68","890.21","1.06B","0.36%"
"07/17/2023","898.29","894.75","899.44","891.18","1.12B","0.22%"
"07/18/2023","914.14","901.43","914.18","901.12","1.14B","1.76%"
"07/19/2023","923.72","917.51","923.90","910.25","1.02B","1.05%"
"07/20/2023","931.60","918.27","931.79","913.98","978.78M","0.85%"
"07/21/2023","934.58","918.51","937.29","918.19","992.32M","0.32%"
"07/24/2023","929.90","934.99","935.55","920.89","966.47M","-0.50%"
"07/25/2023","939.96","932.17","945.47","924.31","932.87M","1.08%"
"07/26/2023","900.63","945.57","956.40","886.14","1.24B","-4.18%"
"07/27/2023","883.79","897.44","912.57","878.80","892.73M","-1.87%"
"07/28/2023","913.74","880.23","914.60","877.96","677.66M","3.39%"
"07/31/2023","935.97","923.01","938.43","921.39","691.58M","2.43%"
"08/01/2023","939.67","944.71","952.12","926.75","924.07M","0.40%"
"08/02/2023","909.76","931.17","940.06","907.87","951.13M","-3.18%"
"08/03/2023","920.32","911.28","920.41","897.89","1.15B","1.16%"
"08/04/2023","918.43","921.16","922.89","914.30","1.06B","-0.21%"
"08/07/2023","898.22","913.25","913.25","894.48","1.10B","-2.20%"
"08/08/2023","892.34","901.76","903.78","889.25","1.15B","-0.65%"
"08/09/2023","908.98","891.08","912.94","889.94","1.01B","1.86%"
"08/10/2023","911.29","904.68","912.65","899.01","1.26B","0.25%"
"08/11/2023","912.20","913.97","918.18","908.27","1.39B","0.10%"
"08/14/2023","901.68","907.43","908.13","894.08","1.18B","-1.15%"
"08/16/2023","878.29","893.93","895.42","877.85","1.22B","-2.59%"
"08/17/2023","886.04","875.15","887.67","863.32","1.11B","0.88%"
"08/18/2023","877.32","878.52","882.08","874.27","1.12B","-0.98%"
"08/21/2023","888.71","881.09","894.58","879.80","1.06B","1.30%"
"08/22/2023","893.33","898.40","899.21","889.71","1.23B","0.52%"
"08/23/2023","882.87","892.65","892.65","881.40","1.44B","-1.17%"
"08/24/2023","901.74","893.46","902.64","892.12","1.28B","2.14%"
"08/25/2023","899.38","891.21","902.81","890.08","1.16B","-0.26%"
"08/28/2023","909.38","907.53","909.48","901.84","1.07B","1.11%"
"08/29/2023","916.24","911.94","918.39","907.82","1.31B","0.75%"
"08/30/2023","923.81","925.08","926.44","921.05","1.28B","0.83%"
"08/31/2023","928.40","925.57","930.42","923.40","1.28B","0.50%"
"09/01/2023","919.74","926.37","928.00","919.74","1.07B","-0.93%"
"09/04/2023","919.16","918.12","921.63","913.04","1.11B","-0.06%"
"09/05/2023","921.48","918.85","922.65","913.02","1.08B","0.25%"
"09/06/2023","917.95","923.61","927.28","916.08","1.09B","-0.38%"
"09/07/2023","906.36","914.63","921.79","902.95","1.28B","-1.26%"
"09/08/2023","914.18","908.08","914.18","902.77","1.25B","0.86%"
"09/11/2023","912.55","918.43","918.43","907.90","975.19M","-0.18%"
"09/12/2023","898.04","918.10","918.96","895.96","1.18B","-1.59%"
"09/13/2023","882.72","895.94","899.80","882.27","1.08B","-1.71%"
"09/14/2023","899.47","888.19","899.47","886.46","1.02B","1.90%"
"09/15/2023","899.03","900.62","902.40","897.11","941.82M","-0.05%"
"09/18/2023","891.29","892.18","896.37","889.99","906.67M","-0.86%"
"09/19/2023","883.89","891.57","894.26","882.42","1.05B","-0.83%"
"09/20/2023","882.72","883.74","886.65","874.92","1.02B","-0.13%"
"09/21/2023","860.68","875.52","879.82","859.51","1.05B","-2.50%"
"09/22/2023","857.35","851.93","860.68","847.56","1.03B","-0.39%"
"09/25/2023","839.17","856.79","859.04","839.17","869.43M","-2.12%"
"09/26/2023","827.82","841.80","845.30","827.82","1.12B","-1.35%"
"09/27/2023","841.02","823.20","841.97","821.71","844.48M","1.59%"
"10/04/2023","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"10/05/2023","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"10/06/2023","816.39","803.88","818.37","803.88","776.64M","1.92%"
"10/10/2023","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"10/11/2023","817.12","805.03","821.83","805.03","856.19M","2.78%"
"10/12/2023","835.49","822.27","835.79","822.27","1.04B","2.25%"
"10/13/2023","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"10/16/2023","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"10/17/2023","820.38","817.47","825.33","817.29","948.11M","1.21%"
"10/18/2023","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"10/19/2023","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"10/20/2023","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"10/23/2023","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"10/24/2023","784.86","771.03","784.86","750.32","951.76M","2.77%"
"10/25/2023","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"10/26/2023","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"10/27/2023","748.49","749.87","760.51","738.92","665.63M","0.62%"
"10/30/2023","757.12","747.24","760.87","744.63","648.82M","1.15%"
"10/31/2023","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"11/01/2023","739.23","742.98","749.65","737.52","753.92M","0.43%"
"11/02/2023","772.84","753.37","773.39","753.37","794.26M","4.55%"
"11/03/2023","782.05","779.28","782.53","768.38","810.11M","1.19%"
"11/06/2023","839.45","794.49","839.45","793.72","849.33M","7.34%"
"11/07/2023","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"11/08/2023","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"11/09/2023","802.87","813.89","814.92","797.44","921.92M","-1.00%"
"11/10/2023","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"11/13/2023","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"11/14/2023","794.19","779.47","794.91","779.47","841.49M","2.55%"
"11/15/2023","809.36","808.68","813.06","805.27","816.59M","1.91%"
"11/16/2023","811.11","809.12","815.82","804.74","905.41M","0.22%"
"11/17/2023","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"11/20/2023","813.08","797.83","815.27","797.51","786.86M","1.75%"
"11/21/2023","817.01","816.34","819.14","811.24","897.45M","0.48%"
"11/22/2023","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"11/23/2023","815.98","816.16","819.91","813.25","909.85M","0.17%"
"11/24/2023","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"11/27/2023","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"11/28/2023","816.44","811.76","816.62","811.06","933.90M","0.76%"
"11/29/2023","822.44","817.90","823.81","812.95","916.37M","0.73%"
"11/30/2023","831.68","819.23","831.68","819.23","774.89M","1.12%"
"12/01/2023","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"12/04/2023","828.52","828.66","837.95","823.99","1.01B","0.15%"
"12/05/2023","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"12/06/2023","819.54","816.66","822.39","814.00","882.76M","0.76%"
"12/07/2023","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"12/08/2023","830.37","818.71","830.99","818.50","862.26M","2.11%"
"12/11/2023","835.25","831.83","839.15","831.64","930.37M","0.59%"
"12/12/2023","839.53","835.41","842.56","833.67","1.22B","0.51%"
"12/13/2023","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"12/14/2023","840.59","841.75","845.54","834.66","1.04B","1.36%"
"12/15/2023","838.31","844.76","846.70","834.94","1.08B","-0.27%"
"12/18/2023","850.96","844.78","854.07","843.61","802.09M","1.51%"
"12/19/2023","858.30","850.36","858.65","849.33","1.07B","0.86%"
"12/20/2023","862.98","861.96","865.02","860.56","1.12B","0.55%"
"12/21/2023","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"12/22/2023","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"12/26/2023","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"12/27/2023","859.79","851.49","860.29","851.21","1.22B","1.35%"
"12/28/2023","866.57","860.42","866.57","856.53","1.25B","0.79%"
"01/02/2024","878.93","866.08","878.93","865.26","1.15B","1.43%"
"01/03/2024","871.57","872.21","872.44","865.12","1.26B","-0.84%"
"01/04/2024","866.25","865.35","872.79","860.45","1.22B","-0.61%"
"01/05/2024","878.33","866.81","878.98","864.86","1.05B","1.39%"
"01/08/2024","879.34","880.24","882.88","875.34","1.16B","0.11%"
"01/09/2024","884.64","886.10","890.06","881.97","1.17B","0.60%"
"01/10/2024","875.46","884.08","884.08","872.68","1.27B","-1.04%"
"01/11/2024","882.53","878.12","885.75","878.12","1.48B","0.81%"
"01/12/2024","868.08","878.69","880.30","865.81","1.11B","-1.64%"
"01/15/2024","859.71","865.45","869.69","855.00","996.41M","-0.96%"
"01/16/2024","854.83","857.39","864.90","846.47","1.03B","-0.57%"
"01/17/2024","833.05","856.61","856.97","832.70","1.11B","-2.55%"
"01/18/2024","840.33","834.01","848.63","830.06","1.17B","0.87%"
"01/19/2024","842.67","848.66","856.05","837.87","1.22B","0.28%"
"01/22/2024","839.69","848.87","849.32","836.89","1.32B","-0.35%"
"01/23/2024","840.11","840.62","848.65","833.24","1.25B","0.05%"
"01/24/2024","836.21","841.45","842.90","828.12","1.42B","-0.46%"
"01/25/2024","823.74","833.34","833.34","820.64","1.57B","-1.49%"
"01/26/2024","837.24","818.76","839.52","817.06","1.24B","1.64%"
"01/29/2024","819.14","841.21","841.21","815.54","1.25B","-2.16%"
"01/30/2024","818.86","826.00","828.54","811.57","1.10B","-0.03%"
"01/31/2024","799.24","813.80","818.90","799.24","1.14B","-2.40%"
"02/01/2024","798.73","796.26","800.91","786.28","1.12B","-0.06%"
"02/02/2024","814.77","803.71","817.74","803.71","1.10B","2.01%"
"02/05/2024","807.99","812.28","813.83","807.36","974.41M","-0.83%"
"02/06/2024","807.03","804.36","808.39","795.37","1.07B","-0.12%"
"02/07/2024","811.92","811.51","820.06","809.18","827.98M","0.61%"
"02/08/2024","826.58","816.82","828.03","816.27","912.50M","1.81%"
"02/13/2024","845.15","831.14","846.58","830.66","896.29M","2.25%"
"02/14/2024","853.30","833.24","854.44","831.56","1.09B","0.96%"
"02/15/2024","859.21","860.13","861.37","852.79","1.22B","0.69%"
"02/16/2024","857.60","863.69","864.24","854.72","1.34B","-0.19%"
"02/19/2024","858.47","854.28","862.08","853.52","1.27B","0.10%"
"02/20/2024","866.17","858.08","866.17","854.58","1.39B","0.90%"
"02/21/2024","864.07","861.58","872.38","860.91","1.73B","-0.24%"
"02/22/2024","870.11","868.22","871.46","864.56","1.48B","0.70%"
"02/23/2024","868.57","873.21","875.58","866.22","1.49B","-0.18%"
"02/26/2024","867.40","869.08","872.52","866.43","1.22B","-0.13%"
"02/27/2024","853.75","870.10","870.10","850.77","1.19B","-1.57%"
"02/28/2024","863.39","859.78","868.71","858.56","1.10B","1.13%"
"02/29/2024","862.96","862.55","865.88","858.30","1.37B","-0.05%"
"03/04/2024","872.97","869.36","875.30","869.36","1.14B","1.16%"
"03/05/2024","866.37","869.36","869.36","863.40","1.21B","-0.76%"
"03/06/2024","870.67","861.67","872.06","859.71","1.11B","0.50%"
"03/07/2024","863.37","874.30","874.53","860.01","1.14B","-0.84%"
"03/08/2024","873.18","869.18","873.18","866.18","1.27B","1.14%"
"03/11/2024","875.93","870.41","875.93","868.48","1.08B","0.31%"
"03/12/2024","889.71","877.37","889.71","876.62","1.06B","1.57%"
"03/13/2024","889.93","892.41","894.39","881.33","1.21B","0.02%"
"03/14/2024","887.52","889.53","892.31","881.95","1.07B","-0.27%"
"03/15/2024","880.46","882.67","884.60","875.87","1.11B","-0.80%"
"03/18/2024","894.48","882.58","894.48","882.58","973.18M","1.59%"
"03/19/2024","891.91","893.49","893.49","884.45","1.10B","-0.29%"
"03/20/2024","891.45","894.34","896.44","890.00","1.05B","-0.05%"
"03/21/2024","904.29","900.46","906.26","899.24","1.07B","1.44%"
"03/22/2024","903.98","902.70","905.64","900.84","1.08B","-0.03%"
"03/25/2024","913.69","906.45","916.01","905.70","961.28M","1.07%"
"03/26/2024","916.09","915.49","922.57","910.86","1.04B","0.26%"
"03/27/2024","911.25","914.33","918.49","905.26","1.14B","-0.53%"
"03/28/2024","910.05","912.33","914.38","908.98","1.10B","-0.13%"
"03/29/2024","905.50","912.31","914.25","903.61","946.87M","-0.50%"
"04/01/2024","912.45","909.62","920.05","907.48","914.27M","0.77%"
"04/02/2024","891.59","912.07","913.79","888.88","1.04B","-2.29%"
"04/03/2024","879.96","883.22","883.95","874.77","994.52M","-1.30%"
"04/04/2024","882.90","885.53","889.70","878.12","979.42M","0.33%"
"04/05/2024","872.29","872.47","879.34","867.45","1.08B","-1.20%"
"04/08/2024","860.57","873.76","873.76","859.09","1.06B","-1.34%"
"04/09/2024","859.33","864.00","871.18","856.49","976.47M","-0.14%"
"04/11/2024","858.10","850.80","860.83","847.54","661.66M","-0.14%"
"04/12/2024","860.47","863.16","867.01","858.24","740.52M","0.28%"
"04/15/2024","852.42","850.21","854.51","842.84","837.14M","-0.94%"
"04/16/2024","832.81","845.54","848.24","829.76","931.17M","-2.30%"
"04/17/2024","833.03","839.30","845.45","833.03","930.98M","0.03%"
"04/18/2024","855.65","833.38","856.05","833.38","956.76M","2.72%"
"04/19/2024","841.91","849.99","850.07","824.99","1.10B","-1.61%"
"04/22/2024","845.82","844.95","854.16","840.29","898.76M","0.46%"
"04/23/2024","845.44","848.88","853.62","844.50","886.59M","-0.04%"
"04/24/2024","862.23","856.37","863.12","855.79","957.92M","1.99%"
"04/25/2024","853.26","855.78","865.15","853.13","811.57M","-1.04%"
"04/26/2024","856.82","860.00","862.80","852.80","704.66M","0.42%"
"04/29/2024","869.72","860.53","869.73","860.53","772.59M","1.51%"
"04/30/2024","868.93","872.08","875.64","867.32","792.64M","-0.09%"
"05/02/2024","867.48","865.78","870.33","864.98","854.45M","-0.17%"
"05/03/2024","865.59","872.27","875.11","865.21","843.08M","-0.22%"
"05/07/2024","871.26","874.69","876.94","869.75","802.23M","0.66%"
"05/08/2024","872.42","870.11","873.65","862.81","967.42M","0.13%"
"05/09/2024","870.15","871.17","873.53","869.00","1.02B","-0.26%"
"05/10/2024","864.16","873.56","875.21","864.03","961.25M","-0.69%"
"05/13/2024","854.43","866.67","867.08","852.75","907.15M","-1.13%"
"05/14/2024","862.15","857.44","865.43","856.88","978.60M","0.90%"
"05/16/2024","870.37","872.31","874.86","868.51","956.09M","0.95%"
"05/17/2024","855.06","869.06","869.60","854.47","938.50M","-1.76%"
"05/20/2024","847.08","856.22","857.51","843.22","1.02B","-0.93%"
"05/21/2024","846.51","849.32","849.32","843.62","1.07B","-0.07%"
"05/22/2024","845.72","850.40","850.59","844.97","914.52M","-0.09%"
"05/23/2024","846.58","846.50","849.32","839.16","1.01B","0.10%"
"05/24/2024","839.41","840.70","845.48","836.95","816.03M","-0.85%"
"05/27/2024","847.99","843.76","848.13","836.65","981.44M","1.02%"
"05/28/2024","851.01","847.46","852.42","846.90","1.15B","0.36%"
"05/29/2024","838.45","849.60","849.93","838.08","1.38B","-1.48%"
"05/30/2024","831.99","835.63","840.74","831.02","1.41B","-0.77%"
"05/31/2024","839.98","835.01","840.02","829.81","1.45B","0.96%"
"06/03/2024","844.72","840.33","847.07","839.58","976.80M","0.56%"
