"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2023","2,225.67","2,249.95","2,259.88","2,222.37","346.34M","-0.48%"
"01/03/2023","2,218.68","2,230.98","2,230.98","2,180.67","410.24M","-0.31%"
"01/04/2023","2,255.98","2,205.98","2,260.06","2,198.82","412.84M","1.68%"
"01/05/2023","2,264.65","2,268.20","2,281.39","2,252.97","430.98M","0.38%"
"01/06/2023","2,289.97","2,253.40","2,300.62","2,253.27","398.61M","1.12%"
"01/09/2023","2,350.19","2,315.87","2,351.06","2,312.56","342.10M","2.63%"
"01/10/2023","2,351.31","2,348.04","2,370.18","2,344.18","359.91M","0.05%"
"01/11/2023","2,359.53","2,364.05","2,369.66","2,350.36","369.01M","0.35%"
"01/12/2023","2,365.10","2,376.72","2,377.80","2,358.33","580.43M","0.24%"
"01/13/2023","2,386.09","2,377.34","2,397.01","2,375.78","862.23M","0.89%"
"01/16/2023","2,399.86","2,390.06","2,410.22","2,387.61","517.76M","0.58%"
"01/17/2023","2,379.39","2,400.92","2,404.00","2,374.65","536.81M","-0.85%"
"01/18/2023","2,368.32","2,380.36","2,383.00","2,356.84","537.39M","-0.47%"
"01/19/2023","2,380.34","2,354.56","2,380.34","2,354.56","370.10M","0.51%"
"01/20/2023","2,395.26","2,380.00","2,395.97","2,372.57","302.51M","0.63%"
"01/25/2023","2,428.57","2,426.58","2,432.71","2,421.51","550.09M","1.39%"
"01/26/2023","2,468.65","2,436.18","2,468.65","2,426.40","486.83M","1.65%"
"01/27/2023","2,484.02","2,474.52","2,497.40","2,464.53","509.29M","0.62%"
"01/30/2023","2,450.47","2,484.64","2,491.13","2,446.59","475.41M","-1.35%"
"01/31/2023","2,425.08","2,449.92","2,457.48","2,423.37","617.20M","-1.04%"
"02/01/2023","2,449.80","2,446.03","2,453.29","2,433.37","666.30M","1.02%"
"02/02/2023","2,468.88","2,481.94","2,486.20","2,454.60","693.12M","0.78%"
"02/03/2023","2,480.40","2,466.54","2,485.08","2,460.21","496.86M","0.47%"
"02/06/2023","2,438.19","2,461.82","2,469.42","2,438.04","566.82M","-1.70%"
"02/07/2023","2,451.71","2,440.14","2,456.17","2,432.40","451.16M","0.55%"
"02/08/2023","2,483.64","2,469.42","2,487.35","2,465.96","415.68M","1.30%"
"02/09/2023","2,481.52","2,470.66","2,487.14","2,466.61","610.69M","-0.09%"
"02/10/2023","2,469.73","2,470.65","2,473.80","2,454.74","662.37M","-0.48%"
"02/13/2023","2,452.70","2,461.96","2,462.58","2,440.86","486.40M","-0.69%"
"02/14/2023","2,465.64","2,471.33","2,480.34","2,459.83","349.43M","0.53%"
"02/15/2023","2,427.90","2,473.09","2,473.44","2,424.16","387.07M","-1.53%"
"02/16/2023","2,475.48","2,444.06","2,475.99","2,442.07","388.03M","1.96%"
"02/17/2023","2,451.21","2,447.66","2,471.51","2,445.74","514.05M","-0.98%"
"02/20/2023","2,455.12","2,453.25","2,463.17","2,430.27","390.01M","0.16%"
"02/21/2023","2,458.96","2,457.51","2,466.07","2,446.00","494.66M","0.16%"
"02/22/2023","2,417.68","2,430.87","2,435.98","2,416.16","427.48M","-1.68%"
"02/23/2023","2,439.09","2,430.01","2,449.62","2,422.62","400.99M","0.89%"
"02/24/2023","2,423.61","2,442.49","2,452.97","2,421.47","369.90M","-0.63%"
"02/27/2023","2,402.64","2,405.42","2,405.56","2,383.76","357.22M","-0.87%"
"02/28/2023","2,412.85","2,417.58","2,431.67","2,407.29","529.79M","0.42%"
"03/02/2023","2,427.85","2,414.61","2,440.59","2,411.85","428.34M","0.62%"
"03/03/2023","2,432.07","2,438.73","2,442.10","2,423.08","371.88M","0.17%"
"03/06/2023","2,462.62","2,452.46","2,464.45","2,441.07","418.81M","1.26%"
"03/07/2023","2,463.35","2,457.04","2,475.73","2,455.65","450.48M","0.03%"
"03/08/2023","2,431.91","2,435.58","2,442.61","2,426.52","438.36M","-1.28%"
"03/09/2023","2,419.09","2,440.79","2,444.20","2,416.25","476.38M","-0.53%"
"03/10/2023","2,394.59","2,389.82","2,400.87","2,383.19","413.41M","-1.01%"
"03/13/2023","2,410.60","2,400.45","2,413.24","2,369.79","380.74M","0.67%"
"03/14/2023","2,348.97","2,390.36","2,390.78","2,348.19","485.08M","-2.56%"
"03/15/2023","2,379.72","2,380.09","2,395.36","2,370.77","443.75M","1.31%"
"03/16/2023","2,377.91","2,357.98","2,382.79","2,346.11","320.19M","-0.08%"
"03/17/2023","2,395.69","2,403.70","2,405.35","2,382.80","364.18M","0.75%"
"03/20/2023","2,379.20","2,391.87","2,405.99","2,378.70","346.03M","-0.69%"
"03/21/2023","2,388.35","2,396.54","2,399.52","2,383.17","355.20M","0.38%"
"03/22/2023","2,416.96","2,411.25","2,417.47","2,402.78","501.41M","1.20%"
"03/23/2023","2,424.48","2,398.27","2,424.48","2,397.91","567.70M","0.31%"
"03/24/2023","2,414.96","2,421.27","2,423.76","2,399.49","470.66M","-0.39%"
"03/27/2023","2,409.22","2,423.94","2,423.94","2,395.97","472.85M","-0.24%"
"03/28/2023","2,434.94","2,418.69","2,434.94","2,415.34","524.02M","1.07%"
"03/29/2023","2,443.92","2,432.63","2,443.95","2,428.61","497.22M","0.37%"
"03/30/2023","2,453.16","2,452.97","2,462.70","2,439.43","629.05M","0.38%"
"03/31/2023","2,476.86","2,459.94","2,481.24","2,456.54","722.61M","0.97%"
"04/03/2023","2,472.34","2,485.81","2,485.81","2,467.59","811.72M","-0.18%"
"04/04/2023","2,480.51","2,475.87","2,489.71","2,472.79","832.56M","0.33%"
"04/05/2023","2,495.21","2,482.61","2,497.61","2,478.67","632.72M","0.59%"
"04/06/2023","2,459.23","2,488.00","2,488.00","2,458.50","751.38M","-1.44%"
"04/07/2023","2,490.41","2,478.64","2,493.06","2,473.89","586.99M","1.27%"
"04/10/2023","2,512.08","2,491.68","2,519.99","2,490.17","717.65M","0.87%"
"04/11/2023","2,547.86","2,523.33","2,550.97","2,514.42","768.18M","1.42%"
"04/12/2023","2,550.64","2,546.36","2,561.37","2,536.23","900.75M","0.11%"
"04/13/2023","2,561.66","2,534.71","2,561.66","2,531.07","841.72M","0.43%"
"04/14/2023","2,571.49","2,580.10","2,581.74","2,560.53","892.45M","0.38%"
"04/17/2023","2,575.91","2,570.30","2,577.08","2,561.14","775.75M","0.17%"
"04/18/2023","2,571.09","2,582.23","2,582.23","2,557.19","896.93M","-0.19%"
"04/19/2023","2,575.08","2,570.06","2,582.11","2,568.46","956.99M","0.16%"
"04/20/2023","2,563.11","2,566.06","2,573.94","2,552.06","951.42M","-0.46%"
