Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,130.73,131.13,131.13,130.62,,-0.29%
2023-01-03,131,130.86,131.41,129.51,,0.21%
2023-01-04,132.62,131.01,132.74,129.93,,1.24%
2023-01-05,133.4,132.63,134.07,131.68,,0.59%
2023-01-06,132.07,133.42,134.79,131.99,,-1.00%
2023-01-09,131.88,131.93,132.67,131.3,,-0.14%
2023-01-10,132.25,131.89,132.49,131.38,,0.28%
2023-01-11,132.47,132.26,132.89,132.06,,0.17%
2023-01-12,129.22,132.48,132.49,128.87,,-2.45%
2023-01-13,127.88,129.27,129.44,127.46,,-1.04%
2023-01-16,128.54,127.84,128.89,127.22,,0.52%
2023-01-17,128.13,128.57,129.15,127.99,,-0.32%
2023-01-18,128.88,128.11,131.58,127.57,,0.59%
2023-01-19,128.42,128.92,128.95,127.76,,-0.36%
2023-01-20,129.57,128.44,130.63,128.35,,0.90%
2023-01-23,130.66,129.51,130.91,129.04,,0.84%
2023-01-24,130.15,130.64,131.12,129.73,,-0.39%
2023-01-25,129.59,130.18,130.6,129.26,,-0.43%
2023-01-26,130.21,129.61,130.63,129.02,,0.48%
2023-01-27,129.85,130.21,130.28,129.5,,-0.28%
2023-01-30,130.44,129.72,130.62,129.2,,0.45%
2023-01-31,130.09,130.45,130.55,129.74,,-0.27%
2023-02-01,128.93,130.08,130.44,128.54,,-0.89%
2023-02-02,128.65,128.95,129.13,128.08,,-0.22%
2023-02-03,131.17,128.67,131.24,128.33,,1.96%
2023-02-06,132.65,132.15,132.92,131.51,,1.13%
2023-02-07,131.05,132.64,132.72,130.48,,-1.21%
2023-02-08,131.37,131.07,131.55,130.6,,0.24%
2023-02-09,131.56,131.38,131.83,130.34,,0.14%
2023-02-10,131.41,131.57,131.89,129.81,,-0.11%
2023-02-13,132.4,131.41,132.94,131.31,,0.75%
2023-02-14,133.11,132.42,133.33,131.51,,0.54%
2023-02-15,134.11,133.12,134.36,132.54,,0.75%
2023-02-16,133.94,134.16,134.51,133.6,,-0.13%
2023-02-17,134.15,133.95,135.13,133.93,,0.16%
2023-02-20,134.23,134.17,134.55,133.92,,0.06%
