date,sent_pos,sent_neu,sent_neg
2009-04-10,0.300008,0.29804873,0.40194327
2009-08-28,0.29585734,0.3046142,0.39952844
2009-09-08,0.3048714,0.31166723,0.3834613
2009-12-03,0.32562482,0.37949255,0.29488263
2009-12-16,0.29812288,0.31583655,0.38604057
2009-12-19,0.26800984,0.33233267,0.3996575
2009-12-22,0.27599838,0.3485637,0.37543786
2010-01-07,0.28250358,0.33101153,0.38648492
2010-09-02,0.31384486,0.3250388,0.36111638
2011-02-22,0.2451997,0.37963495,0.3751654
2011-04-05,0.31216767,0.3475258,0.34030652
2011-10-05,0.24740776,0.33562213,0.4169701
2013-03-28,0.32739234,0.30973327,0.36287436
2013-07-22,0.27983597,0.32714215,0.39302185
2013-10-09,0.2549939,0.29601184,0.4489943
2013-11-13,0.3237248,0.28009182,0.3961834
2015-05-13,0.27803573,0.34372875,0.37823555
2015-08-11,0.30145487,0.29169902,0.40684608
2016-02-12,0.2831613,0.30908167,0.40775698
2016-02-16,0.29358786,0.30829412,0.39811808
2016-02-28,0.27244693,0.27710745,0.45044565
2016-03-02,0.29351225,0.3023378,0.40414995
2016-03-03,0.27363417,0.33285224,0.39351368
2016-03-04,0.2878042,0.3412142,0.3709816
2016-04-02,0.32726958,0.27399984,0.39873055
2016-06-01,0.2558745,0.31663164,0.42749387
2016-10-02,0.30136326,0.34442514,0.3542116
2017-01-10,0.25454935,0.3263068,0.41914383
2017-03-11,0.31762055,0.33325997,0.34911948
2017-03-17,0.18884057,0.36460742,0.44655204
2017-07-08,0.28918108,0.35253,0.3582889
2017-07-12,0.24030277,0.3127278,0.4469694
2017-08-20,0.23862909,0.33354202,0.4278289
2017-08-22,0.28846747,0.31644434,0.3950882
2017-10-30,0.33352828,0.29455468,0.37191704
2017-12-16,0.30259794,0.27693066,0.42047146
2017-12-20,0.26639208,0.26180092,0.47180703
2017-12-21,0.25334057,0.3093559,0.43730357
2018-01-12,0.27571627,0.27334186,0.45094186
2018-01-30,0.27290407,0.28697973,0.44011623
2018-02-14,0.27412134,0.2754187,0.45046
2018-02-16,0.3130301,0.37179032,0.31517962
2018-02-22,0.26267004,0.29164594,0.44568396
2018-03-03,0.23434362,0.29526052,0.47039592
2018-03-20,0.2919711,0.28066704,0.4273619
2018-04-27,0.31061655,0.33255556,0.35682788
2018-05-18,0.2637958,0.24347544,0.49272877
2018-05-31,0.31678933,0.2481212,0.4350895
2018-06-19,0.29964572,0.32871875,0.37163547
2018-07-01,0.22729792,0.33403933,0.43866274
2018-07-11,0.2847119,0.33464602,0.3806421
2018-07-18,0.26372457,0.2746015,0.46167397
2018-07-19,0.3225317,0.30363932,0.37382895
2018-07-31,0.22973748,0.35320848,0.41705403
2018-08-01,0.3020787,0.26665604,0.43126523
2018-08-03,0.27164304,0.2592642,0.4690928
2018-08-20,0.31303415,0.28887197,0.39809388
2018-08-24,0.24204502,0.3638883,0.39406663
2018-09-04,0.23459762,0.33898407,0.42641827
2018-09-05,0.3362825,0.2674251,0.39629242
2018-10-16,0.28860262,0.29061773,0.42077968
2018-10-18,0.2474542,0.28738028,0.4651656
2018-10-30,0.23634486,0.32563195,0.43802318
2018-11-05,0.27112243,0.39062843,0.33824918
2018-11-26,0.27543423,0.27508783,0.44947797
2018-11-30,0.32048973,0.2685813,0.41092902
2018-12-12,0.28781188,0.33026117,0.38192686
2018-12-13,0.30459192,0.26632023,0.42908788
2018-12-17,0.27967998,0.31006277,0.41025725
2018-12-24,0.2380732,0.2889905,0.47293627
2018-12-28,0.3195368,0.30541822,0.375045
2018-12-29,0.22489397,0.33499658,0.44010943
2019-01-04,0.26267672,0.26046962,0.47685364
2019-01-10,0.30255395,0.29959834,0.39784768
2019-01-11,0.2874018,0.31394035,0.39865786
2019-01-15,0.3248373,0.30788606,0.36727664
2019-01-16,0.30274838,0.30286142,0.39439017
2019-01-21,0.3361209,0.2838921,0.37998694
2019-01-22,0.31098002,0.3357343,0.35328564
2019-01-30,0.32464364,0.2688978,0.40645856
2019-02-01,0.30669776,0.3204753,0.37282696
2019-02-12,0.26779145,0.3224041,0.4098045
2019-02-13,0.26760048,0.27264,0.45975953
2019-02-14,0.2654271,0.28204256,0.45253035
2019-02-15,0.2538734,0.3051091,0.44101745
2019-02-19,0.29168424,0.32446557,0.3838502
2019-02-22,0.28599396,0.28854153,0.42546445
2019-02-27,0.2743968,0.23929334,0.48630983
2019-03-05,0.2680257,0.2264481,0.5055262
2019-03-08,0.26687536,0.252201,0.48092365
2019-03-11,0.27610633,0.23154737,0.4923463
2019-03-13,0.2840418,0.3298189,0.38613933
2019-03-18,0.2771991,0.23560229,0.4871986
2019-03-20,0.26349112,0.37434044,0.3621684
2019-03-26,0.22986227,0.2827445,0.48739326
2019-03-29,0.271831,0.29430735,0.43386164
2019-04-01,0.22473213,0.3445572,0.43071067
2019-04-04,0.26047134,0.3097926,0.42973602
2019-04-12,0.25011766,0.34779873,0.40208364
2019-04-16,0.23880649,0.27410012,0.4870933
2019-04-30,0.25374112,0.32152382,0.4247351
2019-05-14,0.27291232,0.37322918,0.3538585
2019-05-18,0.28616792,0.3171584,0.39667368
2019-05-20,0.25393003,0.2847675,0.46130246
2019-05-21,0.24308157,0.30222374,0.4546947
2019-05-22,0.26277688,0.30694082,0.4302823
2019-05-24,0.2826959,0.3091227,0.4081814
2019-05-30,0.28347185,0.24991481,0.46661335
2019-05-31,0.26661092,0.29904366,0.43434548
2019-06-03,0.24774784,0.2734751,0.47877702
2019-06-05,0.22928801,0.27170092,0.4990111
2019-06-11,0.2811692,0.2588671,0.45996368
2019-06-12,0.26282814,0.24246807,0.4947038
2019-06-13,0.27794665,0.30036524,0.42168808
2019-06-14,0.27244496,0.3311353,0.39641976
2019-06-17,0.22681548,0.25326008,0.51992446
2019-06-19,0.20780534,0.3061256,0.48606905
2019-06-22,0.2957399,0.29307327,0.4111868
2019-06-24,0.286407,0.2825299,0.43106312
2019-06-26,0.27697888,0.24329682,0.47972432
2019-06-30,0.23712681,0.39923006,0.36364314
2019-07-04,0.27643445,0.24480608,0.47875947
2019-07-08,0.2823599,0.28505895,0.4325812
2019-07-10,0.24453755,0.30929476,0.4461677
2019-07-11,0.246174,0.28115845,0.47266757
2019-07-15,0.25548637,0.30505145,0.43946218
2019-07-16,0.23809819,0.31301266,0.44888914
2019-07-19,0.26760903,0.2910758,0.44131517
2019-07-20,0.26859367,0.3029373,0.42846903
2019-07-24,0.27683944,0.24315001,0.48001063
2019-07-31,0.27391753,0.26687884,0.45920357
2019-08-02,0.25105837,0.2797317,0.46920997
2019-08-03,0.2630937,0.29273546,0.4441709
2019-08-05,0.22771561,0.31849477,0.45378968
2019-08-08,0.27981365,0.27158397,0.44860238
2019-08-09,0.26943514,0.2874984,0.44306648
2019-08-12,0.26799083,0.27172846,0.46028072
2019-08-15,0.23495848,0.29184726,0.4731943
2019-08-21,0.25852537,0.27118242,0.4702922
2019-08-22,0.29070023,0.22677788,0.48252186
2019-08-23,0.28921694,0.2841192,0.42666385
2019-08-28,0.2491743,0.31412715,0.43669856
2019-08-29,0.28141925,0.27687612,0.44170463
2019-08-30,0.26762277,0.2760286,0.4563486
2019-09-05,0.24894202,0.30444825,0.44660977
2019-09-23,0.2719809,0.28786808,0.440151
2019-09-24,0.2509223,0.27559462,0.47348306
2019-09-26,0.2916844,0.22987594,0.4784396
2019-09-27,0.2699788,0.2621129,0.46790832
2019-09-30,0.23787525,0.30299425,0.4591305
2019-10-02,0.2903275,0.34989715,0.35977536
2019-10-07,0.2576547,0.28437412,0.4579712
2019-10-14,0.26597318,0.3072305,0.42679635
2019-10-16,0.23431645,0.32942373,0.4362598
2019-10-18,0.26973072,0.25385213,0.47641718
2019-10-23,0.22694385,0.38742822,0.38562793
2019-10-29,0.2445685,0.28148067,0.4739508
2019-10-30,0.27216414,0.27180186,0.45603397
2019-11-01,0.2512934,0.31209937,0.43660724
2019-11-02,0.26185858,0.28246233,0.4556791
2019-11-06,0.29167098,0.27725777,0.43107125
2019-11-11,0.25427392,0.28265718,0.46306884
2019-11-15,0.25560045,0.2850019,0.45939767
2019-11-20,0.28281102,0.25184062,0.46534836
2019-11-22,0.2780852,0.2726268,0.449288
2019-11-26,0.33118305,0.28537393,0.38344303
2019-11-27,0.3041388,0.25446272,0.44139847
2019-11-28,0.30217907,0.26054317,0.4372777
2019-11-30,0.24844988,0.27574188,0.47580826
2019-12-04,0.28065312,0.27272028,0.44662666
2019-12-06,0.27317566,0.24139223,0.48543212
2019-12-17,0.27829447,0.25915685,0.46254867
2019-12-18,0.26981443,0.2674143,0.4627713
2019-12-24,0.27712926,0.2795566,0.44331416
2019-12-25,0.29035255,0.3317376,0.37790984
2019-12-26,0.3141118,0.29325545,0.39263275
2019-12-30,0.25792205,0.24941637,0.4926616
2019-12-31,0.29269975,0.2944591,0.41284114
2020-01-04,0.28070784,0.29505864,0.4242336
2020-01-07,0.27571627,0.27334186,0.45094186
2020-01-10,0.26056385,0.39023918,0.34919697
2020-01-13,0.2689402,0.35899127,0.37206855
2020-02-03,0.2454588,0.26059175,0.49394944
2020-02-11,0.28616464,0.30000845,0.41382688
2020-02-12,0.27787274,0.348711,0.37341624
2020-02-19,0.2455721,0.3098406,0.4445873
2020-02-24,0.27539855,0.28399637,0.44060498
2020-03-03,0.24179792,0.29850703,0.45969504
2020-03-04,0.28886524,0.3504088,0.360726
2020-03-10,0.30071092,0.3200044,0.37928468
2020-03-19,0.2523022,0.31013215,0.43756562
2020-03-20,0.26219133,0.33746803,0.40034065
2020-03-25,0.2712031,0.29342425,0.4353726
2020-03-26,0.2582876,0.27180344,0.46990895
2020-04-02,0.27782828,0.2858969,0.43627474
2020-04-03,0.25242698,0.25551242,0.4920606
2020-04-08,0.23570167,0.35157722,0.41272113
2020-04-09,0.27664542,0.26173255,0.46162206
2020-04-10,0.23961608,0.28486153,0.47552234
2020-04-14,0.28735915,0.25159138,0.46104947
2020-04-16,0.27389035,0.26420832,0.4619013
2020-04-22,0.24681193,0.33596694,0.41722116
2020-04-23,0.26748678,0.254665,0.47784826
2020-04-24,0.2759191,0.31080222,0.41327867
2020-04-25,0.26415604,0.29515603,0.44068795
2020-04-27,0.22888564,0.26881808,0.5022963
2020-04-28,0.2500499,0.31289274,0.4370574
2020-04-30,0.2762948,0.2787295,0.4449757
2020-05-03,0.29269782,0.3542525,0.35304967
2020-05-04,0.2646851,0.3350983,0.4002166
2020-05-07,0.2652036,0.26129597,0.47350046
2020-05-11,0.30705425,0.25688592,0.4360598
2020-05-12,0.26581424,0.2634986,0.47068715
2020-05-13,0.26257136,0.23864496,0.49878365
2020-05-15,0.2604955,0.2840516,0.45545292
2020-05-19,0.23859124,0.3130113,0.4483975
2020-05-20,0.2314753,0.24556635,0.52295834
2020-05-22,0.26356927,0.3236831,0.41274768
2020-05-27,0.26517853,0.35419258,0.38062885
2020-05-28,0.21850394,0.33790037,0.4435957
2020-05-29,0.2597205,0.32088074,0.41939878
2020-05-31,0.2527674,0.33427233,0.41296023
2020-06-01,0.2591715,0.28399354,0.456835
2020-06-03,0.27272367,0.26476005,0.46251625
2020-06-04,0.23592035,0.29415828,0.46992144
2020-06-05,0.28876084,0.31371045,0.39752865
2020-06-09,0.28152686,0.28544807,0.433025
2020-06-10,0.22695212,0.2768258,0.4962221
2020-06-11,0.26537663,0.32450584,0.4101175
2020-06-15,0.2236793,0.3289027,0.44741806
2020-06-22,0.23592398,0.35074085,0.4133351
2020-06-25,0.2674834,0.30038512,0.43213153
2020-06-26,0.27116936,0.3509392,0.37789136
2020-06-27,0.2506155,0.32015377,0.42923072
2020-06-29,0.25826526,0.28891596,0.4528188
2020-06-30,0.28427705,0.26539764,0.4503253
2020-07-07,0.28347185,0.24991481,0.46661335
2020-07-09,0.3342762,0.3614943,0.30422947
2020-07-10,0.27391753,0.26687884,0.45920357
2020-07-15,0.2524773,0.28873837,0.45878434
2020-07-21,0.23953076,0.32369077,0.43677855
2020-07-22,0.25198272,0.35342446,0.39459282
2020-07-23,0.27566808,0.27817458,0.44615734
2020-07-24,0.23456627,0.34344998,0.4219837
2020-07-29,0.3077657,0.2806127,0.4116216
2020-07-30,0.2506893,0.2649794,0.48433128
2020-08-01,0.3124308,0.27939212,0.4081771
2020-08-04,0.27581078,0.27670515,0.44748408
2020-08-05,0.29867613,0.33707583,0.36424804
2020-08-11,0.2256149,0.3544363,0.41994882
2020-08-12,0.21154654,0.38255465,0.40589878
2020-08-13,0.2308757,0.34393197,0.4251923
2020-08-14,0.2716776,0.32451028,0.40381208
2020-08-18,0.27680913,0.28551957,0.4376713
2020-08-19,0.26799083,0.27172846,0.46028072
2020-08-20,0.22734503,0.2804539,0.49220103
2020-08-23,0.21935743,0.35583368,0.42480886
2020-08-24,0.28168827,0.27421135,0.44410035
2020-08-25,0.2906079,0.27186188,0.43753025
