date,usd_krw,cny_krw,eur_krw,jpy_krw,usd_jpy,gold_krw,wti_krw,kospi,kosdaq
2023-01-02,"1,269.03",183.92,"1,353.04",9.705,130.73,2314317.3207,102194.9859,"2,225.67",671.51
2023-01-03,"1,279.10",184.92,"1,349.36",9.7612,131.0,2352891.659,98669.774,"2,218.68",674.95
2023-01-04,"1,270.98",184.47,"1,347.11",9.5815,132.62,2356511.3082,93315.3516,"2,255.98",683.67
2023-01-05,"1,274.26",185.1,"1,340.52",9.5515,133.4,2335960.6894,94320.7252,"2,264.65",679.92
2023-01-06,"1,253.50",183.26,"1,334.23",9.489,132.07,2338667.485,92445.625,"2,289.97",688.94
2023-01-09,"1,239.28",182.92,"1,329.50",9.3963,131.88,2319424.0552,92611.3944,"2,350.19",701.21
2023-01-10,"1,240.80",183.01,"1,331.87",9.3801,132.25,2329316.616,92588.496,"2,351.31",696.05
2023-01-11,"1,242.50",183.5,"1,336.31",9.3781,132.47,2331402.15,96579.525,"2,359.53",709.77
2023-01-12,"1,239.12",183.82,"1,344.20",9.5848,129.22,2350437.1632,97097.4432,"2,365.10",710.82
2023-01-13,"1,237.26",184.53,"1,339.71",9.6729,127.88,2375799.0246,99116.8986,"2,386.09",711.82
2023-01-16,"1,241.61",184.35,"1,342.93",9.6571,128.54,2381407.98,97888.5324,"2,399.86",716.89
2023-01-17,"1,237.34",182.62,"1,334.84",9.6562,128.13,2361327.2826,99915.205,"2,379.39",709.71
2023-01-18,"1,237.69",183.31,"1,335.72",9.6012,128.88,2356264.7144,98086.9325,"2,368.32",711.75
2023-01-19,"1,232.21",181.74,"1,334.11",9.5929,128.42,2379878.0719000003,99599.5343,"2,380.34",712.89
2023-01-20,"1,228.86",181.07,"1,333.80",9.4819,129.57,2367484.8102,100188.9558,"2,395.26",717.97
2023-01-25,"1,232.57",181.62,"1,345.35",9.5098,129.59,2398494.9401,99049.3252,"2,428.57",732.35
2023-01-26,"1,231.84",181.51,"1,341.35",9.4597,130.21,2376207.0416,99779.04,"2,468.65",738.94
2023-01-27,"1,229.62",181.19,"1,336.23",9.4674,129.85,2369895.8108,97471.9774,"2,484.02",741.25
2023-01-30,"1,231.46",182.41,"1,335.40",9.4394,130.44,2367506.4792,95844.5318,"2,450.47",738.62
2023-01-31,"1,233.30",182.57,"1,339.61",9.4782,130.09,2377654.404,97467.699,"2,425.08",740.49
2023-02-01,"1,222.28",181.26,"1,343.16",9.478,128.93,2383959.3576,93748.876,"2,449.80",750.96
2023-02-02,"1,224.78",181.83,"1,336.23",9.518,128.65,2342232.5286,92911.8108,"2,468.88",764.62
